economy,country,year,rgdpna,rkna,emp,hc,ctfp,rtfpna,labsh,pop
BRA,Brazil,1998,1918100.875,0.5792610049247742,62.611366271972656,1.969403862953186,0.7547860145568848,1.2099294662475586,0.5472792983055115,169.78525
BRA,Brazil,1999,1922974.125,0.5954564213752747,65.88960266113281,2.006927251815796,0.6932846903800964,1.1624380350112915,0.5451173782348633,172.31867499999998
BRA,Brazil,2000,2005781.25,0.6126861572265625,68.13045501708984,2.045165777206421,0.6682460904121399,1.1550345420837402,0.537806510925293,174.79034
BRA,Brazil,2001,2032119.375,0.6299818754196167,68.45639038085938,2.0859029293060303,0.6522585153579712,1.1433740854263306,0.5451472401618958,177.196054
BRA,Brazil,2002,2086134.875,0.6425157189369202,71.25364685058594,2.1274518966674805,0.6292266249656677,1.1294742822647095,0.5330697894096375,179.53752
BRA,Brazil,2003,2110055.0,0.6536231637001038,72.30458068847656,2.169828176498413,0.6026086211204529,1.1152403354644775,0.5295776128768921,181.809246
BRA,Brazil,2004,2228845.0,0.6691257357597351,76.1592788696289,2.2130486965179443,0.5951642394065857,1.1244763135910034,0.5252270698547363,184.00648099999998
BRA,Brazil,2005,2300215.5,0.6852092742919922,78.41477966308594,2.2571301460266113,0.5924561023712158,1.1248581409454346,0.5354456901550293,186.127103
BRA,Brazil,2006,2391349.75,0.7051524519920349,80.87911987304688,2.2988085746765137,0.606076717376709,1.1252037286758423,0.5404710173606873,188.16735599999998
BRA,Brazil,2007,2536501.5,0.7312651872634888,81.3537826538086,2.3412563800811768,0.6298295855522156,1.1602433919906616,0.541516125202179,190.13044299999999
BRA,Brazil,2008,2665716.0,0.7651934623718262,82.75995635986328,2.384488344192505,0.6401033401489258,1.1726902723312378,0.5496699213981628,192.030362
BRA,Brazil,2009,2662362.0,0.7911502718925476,83.15142822265625,2.428518533706665,0.6077969074249268,1.1417315006256104,0.5624669790267944,193.886508
BRA,Brazil,2010,2862790.75,0.8294206261634827,86.35382843017578,2.4733617305755615,0.6219223737716675,1.1664559841156006,0.5524567365646362,195.71363499999998
BRA,Brazil,2011,2976570.0,0.8693637251853943,88.6289291381836,2.5608959197998047,0.6418208479881287,1.1453182697296143,0.5570166707038879,197.514536
BRA,Brazil,2012,3033755.25,0.905659556388855,89.50627136230469,2.6218743324279785,0.6265639662742615,1.1268965005874634,0.5658205151557922,199.287299
BRA,Brazil,2013,3124914.25,0.944922924041748,91.148193359375,2.684304714202881,0.6181328892707825,1.11786949634552,0.5703140497207642,201.035912
BRA,Brazil,2014,3140662.25,0.9761427640914917,92.83358764648438,2.7482216358184814,0.6005054116249084,1.0862832069396973,0.5681036114692688,202.763739
BRA,Brazil,2015,3029301.75,0.991079568862915,92.44722747802734,2.8136603832244873,0.5591862201690674,1.0349825620651245,0.58119797706604,204.471769
BRA,Brazil,2016,2930064.5,0.9943637847900391,90.62647247314453,2.880657434463501,0.5388879776000977,1.000346302986145,0.5801931023597717,206.163053
BRA,Brazil,2017,2968825.5,1.0,90.50138854980469,2.9492499828338623,0.539283812046051,1.0,0.5779953598976135,207.833823
BRA,Brazil,2018,3007931.5,1.0099714994430542,92.0909423828125,3.0194754600524902,0.5332464575767517,0.9865226149559021,0.5779953598976135,209.469323
BRA,Brazil,2019,3042119.0,1.0217183828353882,93.95682525634766,3.0913732051849365,0.5207929611206055,0.9676050543785095,0.5779953598976135,211.04952699999998
BWA,Botswana,1998,15789.8720703125,0.24923989176750183,0.5544296503067017,2.3731584548950195,0.7824640870094299,1.4331527948379517,0.29423990845680237,1.575824
BWA,Botswana,1999,17316.31640625,0.2696749269962311,0.5832109451293945,2.416654348373413,0.7868022918701172,1.456454873085022,0.30325356125831604,1.610264
BWA,Botswana,2000,17660.513671875,0.2898440957069397,0.6021808385848999,2.460947275161743,0.7819011807441711,1.3901151418685913,0.27796098589897156,1.6433339999999999
BWA,Botswana,2001,17704.771484375,0.31058669090270996,0.6147590279579163,2.494708776473999,0.7284713983535767,1.317400574684143,0.27796098589897156,1.6746779999999999
BWA,Botswana,2002,18779.361328125,0.3337954878807068,0.6147266030311584,2.528933048248291,0.7991988658905029,1.3249523639678955,0.27796098589897156,1.704642
BWA,Botswana,2003,19648.0859375,0.35850396752357483,0.6173466444015503,2.5624353885650635,0.7302619218826294,1.3134340047836304,0.27796098589897156,1.7343979999999999
BWA,Botswana,2004,20179.720703125,0.3796637952327728,0.6113039255142212,2.586050271987915,0.7326945066452026,1.29475998878479,0.27796098589897156,1.7655269999999998
BWA,Botswana,2005,21099.220703125,0.40100327134132385,0.6039825081825256,2.6098830699920654,0.8034289479255676,1.3028960227966309,0.27796098589897156,1.799078
BWA,Botswana,2006,22863.94921875,0.4268949031829834,0.6137842535972595,2.6307475566864014,0.7979490756988525,1.3404396772384644,0.27796098589897156,1.8359079999999999
BWA,Botswana,2007,24756.3671875,0.4615430235862732,0.6725199222564697,2.6517789363861084,0.751121997833252,1.3348054885864258,0.27796098589897156,1.875459
BWA,Botswana,2008,26302.501953125,0.501051664352417,0.710200309753418,2.672978639602661,0.6932606101036072,1.3176441192626953,0.27796098589897156,1.9156389999999999
BWA,Botswana,2009,24289.7421875,0.5443626642227173,0.7370659112930298,2.694347620010376,0.6012903451919556,1.1385453939437866,0.27796098589897156,1.953498
BWA,Botswana,2010,26369.80859375,0.5906370878219604,0.7740967273712158,2.7158873081207275,0.5991328358650208,1.14584481716156,0.27796098589897156,1.987105
BWA,Botswana,2011,27964.759765625,0.643273651599884,0.8187380433082581,2.738507032394409,0.617580235004425,1.1204800605773926,0.27796098589897156,2.015403
