economy,year,lending_rate,gdp_growth,inflation,us10y,spread_bps,log_lending,region,country_name
BRA,1998,86.3633333333333,0.338097901952338,3.19507629280051,5.26288,8110.045333333331,4.45856320301813,LatAm,Brazil
BRA,1999,80.4433333333333,0.467937566679467,4.85844749902666,5.646135458167331,7479.719787516597,4.387553002799412,LatAm,Brazil
BRA,2000,56.83,4.38794944364869,7.04414105947265,6.030278884462151,5079.972111553785,4.04006435530903,LatAm,Brazil
BRA,2001,57.6166666666666,1.3898964044581,6.84035902487523,5.0206854838709685,5259.598118279563,4.053811877699522,LatAm,Brazil
BRA,2002,62.875,3.05346185683619,8.45016437708331,4.61308,5826.192,4.141148628419903,LatAm,Brazil
BRA,2003,67.0833333333333,1.14082899877101,14.7149197228147,4.01388,6306.94533333333,4.205935627630563,LatAm,Brazil
BRA,2004,54.925,5.75996463685998,6.59718509985963,4.271319999999999,5065.368,4.005968618270674,LatAm,Brazil
BRA,2005,55.3833333333333,3.20213206216255,6.86953720898964,4.28888,5109.4453333333295,4.014278706132493,LatAm,Brazil
BRA,2006,50.8083333333333,3.96198870899485,4.18356812896909,4.795,4601.33333333333,3.9280603831257697,LatAm,Brazil
BRA,2007,43.7166666666666,6.06987060733128,3.64127299102652,4.634661354581673,3908.200531208493,3.777729417644772,LatAm,Brazil
BRA,2008,47.25,5.09419544811998,5.67859390284168,3.6642629482071714,4358.573705179283,3.855452653939752,LatAm,Brazil
BRA,2009,44.65,-0.12581200299141,4.88803479876798,3.26412,4138.588,3.798854307322508,LatAm,Brazil
BRA,2010,39.9916666666666,7.52822581812151,5.03872690108074,3.2150597609561755,3677.6606905710432,3.6886710990761977,LatAm,Brazil
BRA,2011,43.8833333333333,3.97442307944702,6.6364496221309,2.78164,4110.16933333333,3.781534597274208,LatAm,Brazil
BRA,2012,36.6366666666666,1.92117598509462,5.40349914036997,1.80344,3483.32266666666,3.6010495604126973,LatAm,Brazil
BRA,2013,27.3916666666666,3.0048226702888,6.204310666401,2.35016,2504.15066666666,3.310238830882171,LatAm,Brazil
BRA,2014,32.0083333333333,0.503955740273241,6.32904015516138,2.53956,2946.8773333333297,3.465996285563857,LatAm,Brazil
BRA,2015,43.9583333333333,-3.54576339347278,9.02990102416136,2.138286852589641,4182.004648074366,3.783242215562221,LatAm,Brazil
BRA,2016,52.1,-3.2759169063211,8.73914352329393,1.83744,5026.256,3.9531649487593215,LatAm,Brazil
BRA,2017,46.9166666666666,1.32286905390815,3.44637335032669,2.32948,4458.718666666659,3.848372978351689,LatAm,Brazil
BRA,2018,39.0833333333333,1.78366676137003,3.66485028376728,2.9112449799196787,3617.208835341362,3.6656961186582784,LatAm,Brazil
BRA,2019,37.475,1.22077782271943,3.73297621216893,2.1414,3533.3600000000006,3.623674043988661,LatAm,Brazil
BRA,2020,29.0416666666666,-3.27675879612903,3.21176803803376,0.889203187250996,2815.2463479415605,3.368731580412576,LatAm,Brazil
BRA,2021,30.0166666666666,4.7626043797061,8.30165975585673,1.4468525896414344,2856.9814077025167,3.4017527829538534,LatAm,Brazil
BRA,2022,39.4,3.01669435408112,9.28010608956872,2.9505622489959835,3644.943775100401,3.673765816303888,LatAm,Brazil
BRA,2023,43.6,3.24165532813583,4.59356282283203,3.959,3964.1,3.775057150354989,LatAm,Brazil
BWA,1998,13.6508333333333,0.443663586075374,6.66139865665752,5.26288,838.7953333333301,2.613800569828537,Africa,Botswana
BWA,1999,14.7758333333333,9.66724070276106,7.74929619202848,5.646135458167331,912.9697875165969,2.6929929632808944,Africa,Botswana
BWA,2000,15.4791666666666,1.98769583378552,8.6014851485149,6.030278884462151,944.8887782204448,2.739495033809864,Africa,Botswana
BWA,2001,15.75,0.250573949689084,6.55903767014861,5.0206854838709685,1072.9314516129032,2.7568403652716422,Africa,Botswana
BWA,2002,16.2083333333333,6.06953087648317,8.03279662527485,4.61308,1159.52533333333,2.785525513270499,Africa,Botswana
BWA,2003,16.4,4.62589474959299,9.18990265632739,4.01388,1238.612,2.797281334830153,Africa,Botswana
BWA,2004,15.75,2.70582170611173,6.94570363654674,4.271319999999999,1147.8680000000002,2.7568403652716422,Africa,Botswana
BWA,2005,15.7375,4.55664565323181,8.61022528546439,4.28888,1144.862,2.7560463993704656,Africa,Botswana
