economy,year,wgi_cc,cpi_raw,cpi_inverted,lending_rate,real_interest_rate,deposit_rate,lending_risk_premium,gdp_pc_constant,gdp_growth,gdp_pc_ppp,inflation,exports_pct_gdp,imports_pct_gdp,external_debt_pct_gni,current_account_pct_gdp,reserves_months_imports,labour_force,secondary_enrollment,population,gross_capital_formation_pct_gdp,trade_pct_gdp,us10y,country_yield,region,country_name,spread_fred,spread_wdi,spread_bps,log_spread,log_lending,wgi_cc_inv,trade_openness
BRA,1998,0.0414753258228302,,,86.3633333333333,77.6168379916665,28.0033333333333,57.7966666666667,6687.49446621217,0.338097901952338,13737.7026434846,3.19507629280051,7.03050033464164,9.40808459356536,28.6093884024265,-4.05145702418442,5.35795221353622,75725311.0,,169159655.0,18.1647519173076,16.438584928207,5.26288,,LatAm,Brazil,,81.1004533333333,8110.045333333331,9.000858736900659,4.45856320301813,-0.0414753258228302,16.438584928207
BRA,1999,,,,80.4433333333333,67.060917103827,26.0225,54.0570833333333,6621.63600079445,0.467937566679467,13602.4137069426,4.85844749902666,9.56489825956504,11.4172682143159,42.1767806671039,-4.46660492637973,4.99722590078223,78290799.0,,171641543.0,17.3895597433765,20.982166473881,5.646135458167331,,LatAm,Brazil,,74.79719787516596,7479.719787516597,8.919950608704868,4.387553002799412,,20.982166473880937
BRA,2000,0.013238783925771713,,,56.83,48.5047281831843,17.1991666666666,38.3241666666667,6817.78345634413,4.38794944364869,14005.347187072,7.04414105947265,10.1880480058491,12.4517133531264,38.096473476996,-4.04774157195875,4.14153415965172,80295093.0,,174018282.0,18.90311926897,22.6397613589755,6.030278884462151,,LatAm,Brazil,,50.79972111553785,5079.972111553785,8.533061050705841,4.04006435530903,-0.013238783925771713,22.6397613589755
BRA,2001,,,,57.6166666666666,45.6378187168125,17.8566666666666,37.5591666666666,6823.0331851176,1.3898964044581,14016.1313773564,6.84035902487523,12.3717106723871,14.5645743525559,42.4435005758245,-4.44478598177802,4.44144456291018,82302317.0,,176301203.0,18.7418602932515,26.936285024943,5.0206854838709685,,LatAm,Brazil,,52.59598118279563,5259.598118279563,8.567809899443965,4.0538118776995224,,26.936285024943
BRA,2002,0.08194231241941452,,,62.875,48.3404374497978,19.1427279084507,43.4441666666667,6944.62257593723,3.05346185683619,14265.9048768518,8.45016437708331,14.2305902741157,13.3877671336016,47.0768538372546,-1.84525902808169,5.36911462837761,85201661.0,,178503484.0,17.4490794845036,27.6183574077173,4.61308,,LatAm,Brazil,,58.26192,5826.192,8.67011889269211,4.141148628419903,-0.08194231241941452,27.618357407717298
BRA,2003,0.090239018201828,,,67.0833333333333,46.447398837078,21.9706904803306,44.9783375563842,6941.43965883253,1.14082899877101,14259.3664088286,14.7149197228147,15.1807837057459,12.959601015803,43.6447539570516,0.392877198829747,6.80818213950273,86792831.0,,180622688.0,16.8566883977988,28.1403847215489,4.01388,,LatAm,Brazil,,63.0694533333333,6306.94533333333,8.749406739008096,4.205935627630563,-0.090239018201828,28.1403847215489
BRA,2004,-0.02726871147751808,,,54.925,43.7791527215823,15.4161509661468,37.788,7258.78101654079,5.75996463685998,14911.260960772,6.59718509985963,16.5457615138976,13.1324909664519,33.9781537953332,1.33863085372603,6.01897746167501,89058034.0,,182675143.0,17.9125683419391,29.6782524803495,4.271319999999999,,LatAm,Brazil,,50.653679999999994,5065.3679999999995,8.530182069522278,4.005968618270674,0.02726871147751808,29.6782524803495
BRA,2005,-0.15374813973903656,,,55.3833333333333,44.6351688572486,17.6287476682326,36.62375,7409.56827992249,3.20213206216255,15221.0138281917,6.86953720898964,15.2438292651669,11.842965940081,21.7546275711234,1.30988468509779,5.01765489488027,91599988.0,,184688101.0,17.2048834481574,27.0867952052479,4.28888,,LatAm,Brazil,,51.0944533333333,5109.4453333333295,8.538846131970335,4.014278706132493,0.15374813973903656,27.0867952052479
BRA,2006,-0.12047989666461945,,,50.8083333333333,41.240326487245,13.9324026747455,36.4315833333333,7622.03919432148,3.96198870899485,15657.4795714009,4.18356812896909,14.3743163021339,11.6673835858106,17.9925275401458,0.972710373980306,6.60632794970043,92726865.0,,186653106.0,17.8164738802739,26.0416998879446,4.795,,LatAm,Brazil,,46.0133333333333,4601.33333333333,8.434101395549783,3.9280603831257697,0.12047989666461945,26.0416998879445
BRA,2007,-0.08398878574371338,,,43.7166666666666,35.0225154508309,10.5772525709938,32.2158833333333,8003.2532101272,6.06987060733128,16440.5837398046,3.64127299102652,13.3276751043,11.9649362714806,17.4373059288235,-0.197096994827677,10.7535621523233,93712199.0,,188552320.0,19.8193259823578,25.2926113757805,4.634661354581673,,LatAm,Brazil,,39.082005312084924,3908.2005312084925,8.270832324847357,3.7777294176447715,0.08398878574371338,25.292611375780602
BRA,2008,0.0034373681992292404,,,47.25,35.3667577888094,11.6553322573294,33.5660857142858,8330.76364001877,5.09419544811998,17113.3679822772,5.67859390284168,13.534000513391,13.7235689032042,15.8956462087501,-2.09933746626458,8.3314223289523,95054971.0,,190367302.0,21.6193828522601,27.2575694165953,3.6642629482071714,,LatAm,Brazil,,43.585737051792826,4358.573705179283,8.379900150984174,3.855452653939752,-0.0034373681992292404,27.2575694165952
BRA,2009,-0.079985611140728,,,44.65,34.792009638163,9.2788317677565,34.9477416666667,8246.09612122851,-0.12581200299141,16939.4407809047,4.88803479876798,10.8513711350383,11.2546044710328,17.2780448195865,-1.75935802585413,12.9658318881251,96857149.0,,192079951.0,18.7961350295102,22.1059756060711,3.2641199999999997,,LatAm,Brazil,,41.38588,4138.588,8.328109945842282,3.798854307322508,0.079985611140728,22.1059756060711
BRA,2010,0.04380635917186737,,,39.9916666666666,29.1158055183637,8.87043931667785,29.0608333333333,8792.63334959864,7.52822581812151,18062.158110224,5.03872690108074,10.8655847760176,11.9065933372032,16.4609633891935,-3.92594539867631,10.22806088851,96467543.0,,193701929.0,21.801321557926,22.7721781132208,3.2150597609561755,,LatAm,Brazil,,36.77660690571043,3677.6606905710432,8.210032147121524,3.6886710990761977,-0.04380635917186737,22.7721781132208
BRA,2011,0.1683824211359024,,,43.8833333333333,32.8334595056712,10.9923648153523,32.2209,9067.99212019529,3.97442307944702,18627.8104527933,6.6364496221309,11.5825126792652,12.3518924972451,15.8516033318801,-3.19461785178244,10.5265784637235,95987652.0,,195284734.0,21.826271117187,23.9344051765103,2.78164,,LatAm,Brazil,,41.101693333333294,4110.16933333333,8.321219506965981,3.781534597274208,-0.1683824211359024,23.9344051765103
BRA,2012,-0.046854231506586075,43.0,57.0,36.6366666666666,26.5820905353339,7.90746650160068,28.5692333333333,9167.49818450433,1.92117598509462,18832.2195524356,5.40349914036997,11.8775390706917,13.2367345396404,18.3256247191339,-3.75941536826245,11.6309530113885,96690220.0,94.5829467773438,196876111.0,21.4172253693275,25.1142736103322,1.8034400000000002,,LatAm,Brazil,,34.8332266666666,3483.3226666666596,8.1557419065192,3.6010495604126973,0.046854231506586075,25.1142736103321
BRA,2013,-0.09769974648952484,42.0,58.0,27.3916666666666,18.498844416907,7.80710378657161,18.4021583333333,9366.73824670239,3.0048226702888,19241.5059814525,6.204310666401,11.7422306467311,14.0437266814141,19.8377244708135,-3.57422104702554,11.2049871023409,97945820.0,104.086219787598,198478299.0,21.6937669560679,25.7859573281452,2.35016,,LatAm,Brazil,,25.041506666666603,2504.15066666666,7.825704900803857,3.310238830882171,0.09769974648952484,25.7859573281452
BRA,2014,-0.3657459020614624,43.0,57.0,32.0083333333333,22.4036724327293,10.023635101878,20.4680833333333,9338.34170840985,0.503955740273241,19183.1727445223,6.32904015516138,11.0119428189165,13.6734629943755,23.1060429665359,-4.49883030905232,11.3474043536961,98900006.0,102.780311584473,200085127.0,20.5484107558184,24.685405813292,2.53956,,LatAm,Brazil,,29.468773333333296,2946.8773333333297,7.98850135762073,3.4659962855638575,0.3657459020614624,24.685405813292
