economy,year,cp_index,s_fuel,s_metals,s_food,s_agri
NGA,1998,3.5662396241493717,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,1999,3.767125160061437,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2000,4.228413537020265,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2001,4.1267950192052645,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2002,4.069127715456388,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2003,4.278689604795065,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2004,4.509909144004723,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2005,4.8256030465479505,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2006,4.9456691739517575,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2007,5.0366051773230325,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2008,5.354439908270541,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2009,4.877471865947944,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2010,5.09715960982782,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2011,5.352253498429291,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2012,5.336783038387016,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2013,5.326964912846101,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2014,5.266228425196209,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2015,4.700333262971181,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2016,4.5310101086962895,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2017,4.735564483988009,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2018,4.968172875118476,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2019,4.781392878007717,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2020,4.446631059193695,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2021,5.122330891445861,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2022,5.602959557708776,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
NGA,2023,5.155816205001318,0.9746037927286544,8.80460726202116e-05,0.0053208135798316816,0.003883691446219455
SEN,1998,2.098831295206593,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,1999,2.114475180926199,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2000,2.2238147150557106,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2001,2.1866704642184978,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2002,2.185236110112688,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2003,2.266695330221228,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2004,2.367282522320565,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2005,2.4549982508197896,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2006,2.544144153180231,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2007,2.610571233092449,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2008,2.698327680682725,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2009,2.545355268308007,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2010,2.669968823817612,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2011,2.7770015208434757,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2012,2.737094748867176,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2013,2.728404168333563,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2014,2.6966751556599133,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2015,2.5101584200273415,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2016,2.47347133490935,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2017,2.543795022222682,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2018,2.595514438626244,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2019,2.5527838508541896,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2020,2.4901644047061287,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2021,2.7165781241101414,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2022,2.8373018023568033,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
SEN,2023,2.722577859748652,0.19650340803364297,0.09667708784265142,0.19364100160280256,0.05028597846940348
GHA,1998,2.6580501507381307,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,1999,2.6093191944161367,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2000,2.644389433345473,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2001,2.623163902931552,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2002,2.6445384889662336,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2003,2.7171248868738243,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2004,2.803048664660933,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2005,2.8417475854663596,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2006,2.9308897198289077,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2007,3.013925819028401,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2008,3.0919700334698605,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2009,2.971311083542097,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2010,3.0983665633572532,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2011,3.2124878879147594,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2012,3.1598889913731387,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2013,3.150578579909065,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2014,3.123066230259057,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2015,2.9823987077288363,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2016,2.977154739718052,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2017,3.0233270522679114,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2018,3.0344825192828075,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2019,3.01220403629861,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2020,3.0064858103454393,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2021,3.18241297960579,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2022,3.260754560247783,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
GHA,2023,3.1956619638220554,0.038005455082210336,0.08786272110994639,0.43218825559387075,0.08842450582980345
ZMB,1998,3.2527554992030527,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,1999,3.2541124393871463,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2000,3.3722211940519085,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2001,3.2656284042212755,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2002,3.260908587334033,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2003,3.3924822635972873,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2004,3.647557079110585,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2005,3.808852992763835,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2006,4.152701996726459,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2007,4.319754334174661,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2008,4.2602205543003215,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2009,4.107260111934071,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2010,4.4448942946073,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2011,4.558399538745662,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2012,4.401956178300324,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2013,4.3705172534195,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2014,4.269592549861825,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2015,4.007593573586418,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2016,3.965161907432022,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2017,4.120718660433937,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2018,4.1724283414156424,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
ZMB,2019,4.192001752593655,0.019217559799528966,0.7324955794567465,0.06389648441623753,0.045414344452836916
